[ 5.07357036e+01  4.05857143e+01]
 [ 8.06782733e+01  5.13082138e+01]
 [ 4.12024844e+01  5.08548102e+01]
 [ 4.45561074e+01  5.01883406e+01]
 [ 2.82190770e+01  3.71593805e+01]
 [ 4.60596559e+01  5.10714634e+01]
 [ 8.22286898e+01  4.22990923e+01]
 [ 3.69095874e+01  5.15542487e+01]
 [ 5.60114844e+01  6.96603226e+01]
 [ 4.46665313e+01  4.91172343e+01]
 [ 7.17405960e+01  5.06064798e+01]
 [ 6.35758452e+01  3.20412715e+01]
 [ 6.76777502e+01  4.62086429e+01]
 [ 4.20631734e+01  5.07128362e+01]
 [ 7.28659633e+01  5.04629633e+01]
 [ 6.85970372e+01  5.13183125e+01]
 [ 6.71734900e+01  4.58787076e+01]
 [ 7.35371853e+01  5.05805998e+01]
 [ 4.37440149e+01  6.21431460e+01]
 [ 6.19516773e+01  6.18408699e+01]
 [ 3.05977854e+01  3.81744707e+01]
 [ 6.91563757e+01  5.15847016e+01]
 [ 4.74668278e+01  4.49443148e+01]
 [ 5.09313715e+01  4.21498406e+01]
 [ 5.83356940e+01  4.67441639e+01]
 [ 5.78323550e+01  7.04948619e+01]
 [ 5.11869666e+01  3.94992799e+01]
 [ 3.18547239e+01  5.79405001e+01]
 [ 6.06854765e+01  5.71610944e+01]
 [ 4.70264544e+01  5.12944251e+01]
 [ 3.65805338e+01  6.12608947e+01]
 [ 5.12821150e+01  4.62625889e+01]
 [ 4.02751406e+01  4.24547971e+01]
 [ 6.66588595e+01  5.97041448e+01]
 [ 2.47961246e+01  5.68033872e+01]
 [ 6.15164466e+01  3.90605247e+01]
 [ 5.54615338e+01  5.45814584e+01]
 [ 2.99263274e+01  3.60598126e+01]
 [ 5.93668573e+01  7.06366152e+01]
 [ 3.79896492e+01  4.75373943e+01]
 [ 4.68738812e+01  5.18335506e+01]
 [ 5.93759166e+01  6.84181119e+01]
 [ 5.84162446e+01  7.17229904e+01]
 [ 5.04160837e+01  5.24377446e+01]
 [ 2.87035911e+01  4.74927633e+01]
 [ 5.80703834e+01  7.24065626e+01]
 [ 5.65084687e+01  6.87043084e+01]
 [ 2.87791813e+01  6.28229075e+01]
 [ 2.83012306e+01  3.64964379e+01]
 [ 5.77960419e+01  5.52996978e+01]
 [ 3.76059446e+01  5.91928434e+01]
 [ 5.85287211e+01  4.46647142e+01]
 [ 4.02689045e+01  4.82805287e+01]
 [ 5.57786186e+01  7.48831074e+01]
 [ 8.24436407e+01  4.22933210e+01]
 [ 6.43176863e+01  4.23772702e+01]
 [ 6.31142912e+01  4.13779642e+01]
 [ 5.60468979e+01  7.74826603e+01]
 [ 6.34313083e+01  3.20531950e+01]
 [ 5.41875362e+01  4.81484347e+01]
 [ 6.15594049e+01  3.81629453e+01]
 [ 4.61527618e+01  3.24729467e+01]
 [ 3.17976221e+01  4.32729906e+01]
 [ 5.36378012e+01  3.54194410e+01]
 [ 6.43126103e+01  7.29033060e+01]
 [ 6.34027551e+01  4.22566252e+01]
 [ 6.09873066e+01  4.56398760e+01]
 [ 5.89102841e+01  7.30187873e+01]
 [ 4.91389522e+01  4.29428737e+01]
 [ 5.04571885e+01  6.29484206e+01]
 [ 6.61943433e+01  3.45124507e+01]
 [ 3.70726494e+01  6.29384093e+01]
 [ 5.98718408e+01  3.24120464e+01]
 [ 6.19124306e+01  7.04699240e+01]
 [ 3.61405118e+01  4.00351629e+01]
 [ 6.07837731e+01  3.67825870e+01]
 [ 6.52725117e+01  3.10419650e+01]
 [ 4.51489174e+01  3.45102047e+01]
 [ 5.04285760e+01  3.89352248e+01]
 [ 2.93467386e+01  5.35842242e+01]
 [ 3.52815945e+01  4.99737952e+01]
 [ 2.73294066e+01  5.87830955e+01]
 [ 6.12944491e+01  4.20719084e+01]
 [ 7.94469480e+01  4.40830170e+01]
 [ 5.67792597e+01  5.78046246e+01]
 [ 3.76576238e+01  3.81388692e+01]
 [ 4.81977211e+01  4.04948170e+01]
 [ 6.17011559e+01  3.88612028e+01]
 [ 4.04917618e+01  5.39466289e+01]
 [ 6.13314450e+01  4.31765426e+01]
 [ 4.43415679e+01  5.76351097e+01]
 [ 4.90359513e+01  4.29092983e+01]
 [-7.98051093e+01  3.89825063e+01]
 [ 7.80091140e+01  4.70796071e+01]
 [ 5.89867795e+01  7.25339951e+01]
 [ 6.01699991e+01  7.35028515e+01]
 [ 6.94264782e+01  6.43546261e+01]
 [ 8.19129796e+01  4.11716423e+01]
 [ 3.61509814e+01  5.33090577e+01]
 [ 7.68449220e+01  4.77963301e+01]
 [ 3.77768823e+01  5.79818864e+01]
 [-8.25022228e+00 -2.90326871e+01]
 [ 2.98992161e+01  5.29711147e+01]
 [ 5.74204519e+01  6.76280123e+01]
 [ 7.66150433e+01  4.82542286e+01]
 [ 4.43741575e+01  5.94316930e+01]
 [ 4.28563845e+01  5.81836636e+01]
 [ 7.46263211e+01  4.85049739e+01]
 [ 5.13308300e+01  7.15209429e+01]
 [ 3.53214034e+01  5.78824446e+01]
 [ 7.78932217e+01  4.71424770e+01]
 [ 7.79403885e+01  4.68959769e+01]
 [ 2.75323566e+01  3.83757317e+01]
 [ 4.67940918e+01  5.16004969e+01]
 [ 6.71724241e+01  4.16719929e+01]
 [ 5.02226838e+01  6.04969329e+01]
 [ 5.77975581e+01  3.80338956e+01]
 [ 5.20046184e+01  4.19013640e+01]
 [ 8.07910041e+01  4.89079754e+01]
 [ 4.45409103e+01  3.43435908e+01]
 [ 4.35623717e+01  6.16461713e+01]
 [ 3.09465359e+01  6.09136134e+01]
 [ 5.46571239e+01  3.52984325e+01]
 [ 4.20200664e+01  5.61530538e+01]
 [ 4.13109072e+01  3.10425002e+01]
 [ 6.48596848e+01  6.69947600e+01]
 [ 5.69397570e+01  3.41854628e+01]
 [ 6.47741493e+01  6.73083284e+01]
 [ 5.79829798e+01  3.87613405e+01]
 [ 3.79127786e+01  5.74422857e+01]
 [ 5.30560571e+01  4.36608136e+01]
 [ 6.30950112e+01  4.19882063e+01]
 [ 4.54574223e+01  3.38488418e+01]
 [ 5.71223175e+01  3.29772403e+01]
 [ 6.22788900e+01  6.80797186e+01]
 [ 4.53590314e+01  3.27155108e+01]
 [ 5.06722382e+01  7.64013960e+01]
 [ 6.44733903e+01  3.61512385e+01]
 [ 5.24575474e+01  3.81482926e+01]
 [ 5.96398490e+01  5.42064769e+01]
 [ 4.17477028e+01  5.43106707e+01]
 [ 4.33804073e+01  3.59529258e+01]
 [ 4.96565715e+01  3.52712405e+01]
 [ 5.72275620e+01  3.68074336e+01]
 [ 3.26410713e+01  5.06740320e+01]
 [ 4.92718490e+01  3.53495036e+01]
 [ 3.79933613e+01  3.75265384e+01]
 [ 3.88753126e+01  3.70113878e+01]
 [ 4.62797756e+01  3.20170534e+01]
 [ 5.56209643e+01  4.28881048e+01]
 [ 4.66070563e+01  3.62888169e+01]
 [ 3.85019194e+01  5.37102165e+01]
 [ 3.83705563e+01  6.24633984e+01]
 [ 3.82416876e+01  3.76248936e+01]
 [ 5.49736277e+01  4.55102223e+01]
 [ 5.07205832e+01  3.70996903e+01]
 [ 7.16178481e+01  5.65610169e+01]
 [ 4.64262564e+01  3.67713235e+01]
 [ 4.23547689e+01  3.30410948e+01]
 [ 4.31033640e+01  3.55804187e+01]
 [ 6.26490915e+01  6.33534387e+01]
 [ 5.76392602e+01  4.56340691e+01]
 [ 7.31919791e+01  5.44765320e+01]
 [ 4.90824975e+01  4.31378565e+01]
 [ 3.93733642e+01  3.16145681e+01]
 [ 7.36775430e+01  5.32431380e+01]
 [ 5.80859435e+01  5.96331554e+01]
 [ 4.06405351e+01  4.91520758e+01]
 [ 3.64209431e+01  3.89772361e+01]
 [ 3.04902765e+01  3.80986545e+01]
 [ 5.73567615e+01  5.38598943e+01]
 [ 2.99712386e+01  3.67182452e+01]
 [ 2.92317012e+01  3.52768307e+01]
 [ 5.84637689e+01  3.11481310e+01]
 [ 8.37391998e+01  4.85419530e+01]
 [ 6.67949444e+01  5.94507135e+01]
 [ 3.98032142e+01  5.87467563e+01]
 [ 7.25619347e+01  5.14591320e+01]
 [ 6.67624347e+01  3.46144724e+01]
 [ 7.29444003e+01  5.39745716e+01]
 [ 4.87994756e+01  7.31012144e+01]
 [ 6.24858531e+01  5.67957100e+01]
 [ 3.75407725e+01  5.11152720e+01]
 [ 6.33484250e+01  5.96397748e+01]
 [ 5.16821952e+01  4.63665628e+01]
 [ 6.39544162e+01  6.31407603e+01]
 [ 7.22580101e+01  5.23610677e+01]
 [ 3.89820252e+01  4.89127140e+01]
 [ 5.03217650e+01  6.28050514e+01]
 [ 8.05462339e+01  4.92828336e+01]
 [ 5.78566628e+01  7.51431514e+01]
 [ 6.39194245e+01  5.91526366e+01]
 [ 3.39456640e+01  5.58118145e+01]
 [ 4.93228475e+01  4.67092130e+01]
 [ 7.14388162e+01  5.63037550e+01]
 [ 5.07421145e+01  5.09347183e+01]
 [ 7.36585339e+01  5.68247578e+01]
 [ 6.11655214e+01  7.02092222e+01]
 [ 4.17936053e+01  3.66457496e+01]
 [ 3.82329487e+01  5.71483416e+01]
 [ 6.38092581e+01  4.46030091e+01]
 [ 6.26805809e+01  5.25922781e+01]
 [ 2.97992319e+01  5.43959294e+01]
 [ 6.88724715e+01  6.70284733e+01]
 [ 4.22961441e+01  6.48120087e+01]
 [ 6.03362330e+01  7.08717211e+01]
 [ 6.12822050e+01  5.69965336e+01]
 [ 2.74308370e+01  5.14852117e+01]
 [ 3.13054650e+01  6.20534404e+01]
 [ 5.51636456e+01  6.11826999e+01]
 [ 5.51275412e+01  6.12303497e+01]
 [ 3.63816432e+01  5.45861702e+01]
 [ 2.88022682e+01  6.23915802e+01]
 [ 6.06002476e+01  5.70933545e+01]
 [ 6.49372441e+01  3.81235905e+01]
 [ 3.18421935e+01  5.31297634e+01]
 [ 6.43072822e+01  4.92725859e+01]
 [ 4.87432326e+01  7.31316670e+01]
 [ 6.02557612e+01  7.48011670e+01]
 [ 6.65515667e+01  6.02897132e+01]
 [ 4.56302308e+01  5.27938128e+01]
 [ 5.86557200e+01  6.48924107e+01]
 [ 3.52214404e+01  5.76605635e+01]
 [ 3.72652190e+01  4.03518878e+01]
 [ 5.43423030e+01  4.26257862e+01]
 [ 5.12350030e+01  5.51082156e+01]
 [ 3.65929363e+01  5.39500769e+01]
 [ 4.52707957e+01  5.32560288e+01]
 [ 5.62512871e+01  5.50343697e+01]
 [ 4.19745666e+01  3.67637815e+01]
 [ 4.16449054e+01  5.65255653e+01]
 [ 4.28367064e+01  3.56187501e+01]
 [ 5.37676638e+01  4.31394486e+01]
 [ 5.63687508e+01  6.86079902e+01]
 [ 3.07519047e+01  6.14317606e+01]
 [ 3.88048749e+01  5.37871209e+01]
 [ 5.91893797e+01  3.17938422e+01]
 [ 3.87293392e+01  6.00357170e+01]
 [ 2.69183197e+01  3.50717533e+01]
 [ 4.10354828e+01  3.58527473e+01]
 [ 5.24134831e+01  4.32102611e+01]
 [ 5.18647455e+01  3.77375162e+01]
 [ 3.93453700e+01  6.36847053e+01]
 [ 7.16337824e+01  5.23333950e+01]
 [ 5.42378973e+01  7.48720430e+01]
 [ 6.26414816e+01  6.73602296e+01]
 [ 5.08582391e+01  4.22901895e+01]
 [ 3.81905963e+01  3.67583046e+01]
 [ 5.82801007e+01  6.81738141e+01]
 [ 5.16168851e+01  4.31843400e+01]
 [ 5.44696941e+01  4.38063908e+01]
 [ 6.87192456e+01  5.75408613e+01]
 [ 6.00661177e+01  5.09119752e+01]
 [ 6.06315388e+01  5.37395719e+01]
 [ 6.20839528e+01  6.26340621e+01]
 [ 6.02364929e+01  5.20771490e+01]
 [ 5.77707847e+01  6.76040960e+01]
 [ 5.08361395e+01  6.70105583e+01]
 [ 7.84286293e+01  4.91448416e+01]
 [ 5.05581452e+01  3.31596063e+01]
 [-4.86108389e+01  6.89632853e+01]
 [ 3.91585372e+01  3.16393358e+01]
 [ 4.33320471e+01  3.61350655e+01]
 [ 5.97177229e+01  7.42434010e+01]
 [ 5.62966551e+01  3.58228519e+01]
 [ 5.92700213e+01  6.49839344e+01]
 [ 3.83828468e+01  6.21873361e+01]
 [ 4.25328373e+01  4.19257319e+01]
 [ 5.25480009e+01  3.80079996e+01]
 [ 5.23466467e+01  7.31048155e+01]
 [ 5.36102666e+01  3.37432935e+01]
 [ 5.50607423e+01  6.77919557e+01]
 [ 6.46641283e+01  3.77563190e+01]
 [ 5.69537311e+01  3.62502758e+01]
 [ 6.97815540e+01  5.75855519e+01]
 [ 7.96657704e+01  4.91940677e+01]
 [ 3.89135263e+01  6.30975040e+01]
 [ 3.16466322e+01  6.02074296e+01]
 [ 8.36233366e+01  4.84703681e+01]
 [ 6.43892140e+01  5.63544896e+01]
 [ 3.70721219e+01  5.92893241e+01]
 [ 5.61372441e+01  6.98925518e+01]
 [ 6.30068443e+01  4.09454154e+01]
 [ 6.00366977e+01  7.15918707e+01]
 [ 7.80192898e+01  4.63131727e+01]
 [ 6.12173510e+01  4.70023817e+01]
 [ 3.36899164e+01  5.05096710e+01]
 [ 4.27866929e+01  5.04072264e+01]
 [ 3.98249947e+01  5.92726960e+01]
 [ 4.94483797e+01  6.79915905e+01]
 [ 4.73358467e+01  5.27943587e+01]
 [ 6.10400501e+01  4.60082383e+01]
 [ 6.07690397e+01  6.66710935e+01]
 [ 4.18138525e+01  6.48519354e+01]
 [ 6.96949534e+01  5.75701137e+01]
 [ 3.29474298e+01  4.65976176e+01]
 [ 6.65227713e+01  5.82010484e+01]
 [ 5.65674983e+01  7.71787624e+01]
 [ 5.65536099e+01  6.44274294e+01]
 [ 6.03426833e+01  6.67753440e+01]
 [ 6.83557660e+01  5.94061803e+01]
 [ 4.70023282e+01  5.80943973e+01]
 [ 7.99654097e+01  4.94850642e+01]
 [ 5.42805844e+01  7.76087636e+01]
 [ 5.37927207e+01  7.91167410e+01]
 [ 7.27426797e+01  5.64082859e+01]
 [ 3.08054376e+01  4.93732086e+01]
 [ 6.09667451e+01  7.92592246e+01]
 [ 6.42484460e+01  3.68777038e+01]
 [ 7.70133451e+01  4.68152138e+01]
 [ 4.53325526e+01  6.72345613e+01]
 [ 5.09560177e+01  5.49907537e+01]
 [ 7.39751230e+01  5.68265632e+01]
 [ 3.31517809e+01  4.96325465e+01]
 [ 6.07287797e+01  7.89677883e+01]
 [ 3.93981361e+01  4.28328601e+01]
 [ 6.01420405e+01  7.84008979e+01]
 [ 2.81649393e+01  3.70017210e+01]
 [ 5.68628718e+01  7.41112135e+01]
 [ 5.77681546e+01  6.98685677e+01]
 [ 5.50867499e+01  5.47011834e+01]
 [ 5.29278988e+01  6.75665687e+01]
 [ 4.67173342e+01  6.67053406e+01]
 [ 5.72787114e+01  7.33659553e+01]
 [ 7.56029477e+01  4.27600154e+01]
 [ 5.08714534e+01  7.22950466e+01]
 [ 6.20723730e+01  6.01985083e+01]
 [ 4.78093074e+01  5.33974150e+01]
 [ 2.94249698e+01  3.49832432e+01]
 [ 6.24033653e+01  6.11784540e+01]
 [ 4.21763337e+01  5.40881368e+01]
 [ 6.20047893e+01  3.68951233e+01]
 [ 2.85867059e+01  5.18537531e+01]
 [ 4.68739837e+01  4.08381797e+01]
 [ 6.21624593e+01  5.42276126e+01]
 [ 6.39392823e+01  7.20230660e+01]
 [ 5.93369052e+01  4.53291567e+01]
 [ 3.21994863e+01  6.19951832e+01]
 [ 5.64889130e+01  4.32990824e+01]
 [ 6.51107009e+01  5.89146353e+01]
 [ 3.96867753e+01  5.35924541e+01]
 [ 7.48315148e+01  5.73743469e+01]
 [ 6.15292757e+01  4.32988552e+01]
 [ 7.56301829e+01  4.31242408e+01]
 [ 6.23068627e+01  5.83466544e+01]
 [ 2.64581595e+01  3.55506676e+01]
 [ 6.44439553e+01  3.78637368e+01]
 [ 5.76709340e+01  4.53449685e+01]
 [ 5.89205996e+01  5.38078022e+01]
 [ 5.70604579e+01  5.51644178e+01]
 [ 6.15142107e+01  4.30893481e+01]
 [ 5.11517433e+01  5.94318393e+01]
 [ 6.20132930e+01  5.50022142e+01]
 [ 6.41381576e+01  3.19264642e+01]
 [ 3.94706433e+01  4.78022056e+01]
 [ 6.64671975e+01  3.49903706e+01]
 [ 6.37898977e+01  3.07287497e+01]
 [ 6.69621555e+01  3.57571834e+01]
 [ 6.43169282e+01  3.36662211e+01]
 [ 5.29664642e+01  6.40022922e+01]
 [ 5.83869605e+01  7.14575238e+01]
 [-1.23964811e+01 -2.08895343e+01]
 [ 3.44704990e+01  4.89201663e+01]
 [ 4.87316060e+01  7.31754879e+01]
 [ 6.39078188e+01  3.38577353e+01]
 [ 2.51032854e+01  5.66327641e+01]
 [ 5.02044040e+01  7.61172051e+01]
 [ 5.68938179e+01  3.06556181e+01]
 [ 3.68470967e+01  6.13261992e+01]
 [ 5.84909940e+01  5.11260677e+01]
 [ 5.78556771e+01  3.03872409e+01]
 [ 5.06509587e+01  3.93745948e+01]
 [ 3.62312193e+01  5.01495614e+01]
 [ 3.35333817e+01  5.62492321e+01]
 [ 3.47755278e+01  3.94036190e+01]
 [-1.24495223e+01 -2.10456524e+01]
 [ 2.88519345e+01  6.09998763e+01]
 [ 5.21388227e+01  3.42265103e+01]
 [ 5.86729954e+01  7.56456614e+01]
 [ 5.21323990e+01  3.42019191e+01]
 [ 2.89265580e+01  5.46170653e+01]
 [ 4.33632439e+01  6.16554376e+01]
 [ 6.26884018e+01  3.45882026e+01]
 [ 4.70785104e+01  2.91504503e+01]
 [ 5.64715182e+01  3.61141287e+01]
 [ 5.82521851e+01  3.52654237e+01]
 [ 5.80698790e+01  3.17293980e+01]
 [ 4.50225592e+01  3.62573245e+01]
 [ 2.74567093e+01  3.89860713e+01]
 [ 5.82046865e+01  3.51867483e+01]
 [ 6.10991506e+01  4.07237944e+01]
 [ 6.90867675e+01  6.47318735e+01]
 [ 4.11782410e+01  3.81107216e+01]
 [ 3.94740773e+01  5.35642296e+01]
 [ 5.83986431e+01  3.09177769e+01]
 [ 5.04671908e+01  3.38568570e+01]
 [ 6.10887251e+01  3.58442664e+01]
 [ 5.15902929e+01  4.20709231e+01]
 [ 4.80112844e+01  3.17126460e+01]
 [ 5.03642684e+01  7.61358358e+01]
 [ 4.87913979e+01  6.77557755e+01]
 [ 5.70623115e+01  2.87280378e+01]
 [ 5.69511383e+01  2.87286928e+01]
 [ 5.05373442e+01  3.37771203e+01]
 [-4.86491620e+01  6.90473516e+01]
 [ 5.16005864e+01  3.72545718e+01]
 [ 3.88799055e+01  3.91949938e+01]
 [ 3.15641548e+01  4.64860194e+01]
 [ 4.71297629e+01  2.96068133e+01]
 [ 5.67336904e+01  3.15848136e+01]
 [ 4.71111949e+01  2.95627091e+01]
 [ 5.10405842e+01  7.67030396e+01]
 [ 5.69245488e+01  2.90677075e+01]
 [-7.22412862e+01 -5.85220885e+01]
 [-1.34820855e+01 -9.82017182e+01]
 [-5.13057029e+01 -7.63418161e+01]
 [-2.39782437e+01 -9.20437977e+01]
 [-8.08929035e+01 -6.41096262e+01]
 [-2.22217538e+01 -7.84481681e+01]
 [-8.09592160e+01 -4.92911594e+01]
 [-5.93403959e+01 -8.04127725e+01]
 [-2.80708228e+01 -8.53372461e+01]
 [-1.52206708e+01 -9.16082442e+01]
 [-6.66646641e+01 -5.39253545e+01]
 [-6.14333062e+01 -7.00558165e+01]
 [-3.54749665e+01 -8.10156580e+01]
 [-9.60743047e+00 -9.84158005e+01]
 [-3.55795149e+01 -8.31484413e+01]
 [-2.46512294e+01 -7.80218510e+01]
 [-7.90907817e+01 -6.70726148e+01]
 [-1.10329278e+01 -8.76887065e+01]
 [-2.30937857e+01 -7.91952190e+01]
 [-1.91430979e+01 -9.85413789e+01]
 [-4.95826560e+01 -8.03187191e+01]
 [-6.22480414e+01 -6.80807667e+01]
 [-1.22966730e+01 -9.88699141e+01]
 [-2.91778766e+01 -9.24442588e+01]
 [-2.10868484e+01 -9.35150449e+01]
 [-5.09023387e+01 -8.12541309e+01]
 [ 4.11483758e+01 -1.15268237e+01]
 [-1.37420752e+01 -9.53056587e+01]
 [-5.19218804e+01 -6.78942015e+01]
 [-2.76306029e+01 -8.55916902e+01]
 [-8.23768186e+01 -5.44530752e+01]
 [-3.22257363e+01 -6.97924615e+01]
 [-5.46403590e+01 -7.46468841e+01]
 [-2.71239286e+01 -8.84879702e+01]
 [-5.92583243e+01 -6.70456308e+01]
 [-6.93057144e+01 -5.91867137e+01]
 [-5.36761889e+01 -7.89370037e+01]
 [-6.44033446e+01 -7.03160386e+01]
 [-5.12895725e+01 -6.54453813e+01]
 [-6.17821315e+01 -6.38127958e+01]
 [-2.96489972e+01 -6.60915759e+01]
 [-3.07029850e+01 -6.74563305e+01]
 [-5.77372413e+01 -6.55345205e+01]
 [-2.95803416e+01 -6.62767885e+01]
 [-4.23255945e+01 -6.66812580e+01]
 [-2.95790332e+01 -7.70128997e+01]
 [-3.11874920e+01 -6.82455956e+01]
 [-2.02320242e+01  2.10468219e+00]
 [-7.24769769e+01 -5.36318148e+01]
 [-2.90906455e+01 -6.69633577e+01]
 [-3.10682723e+01 -6.81384663e+01]
 [-2.92958575e+01 -6.57140373e+01]
 [-6.46570186e+01 -5.81970258e+01]
 [-8.36929002e+01 -5.87900373e+01]
 [-2.23225260e+01 -8.83429599e+01]
 [-1.46924244e+01 -8.64567765e+01]
 [-2.89598548e+01 -7.60333967e+01]
 [-6.47534319e+01 -5.55298020e+01]
 [-7.91969843e+01 -4.90450877e+01]
 [-5.17070783e+01 -7.82960004e+01]
 [-2.34236633e+01 -7.94166478e+01]
 [-8.54579854e+01 -5.01427442e+01]
 [-2.47352761e+01 -9.15842995e+01]
 [-3.36006449e+01 -7.70279574e+01]
 [-1.59497808e+01 -8.49726653e+01]
 [-4.89191583e+01 -8.21016540e+01]
 [-2.25753241e+01 -7.93771049e+01]
 [-1.46779554e+01 -9.29621984e+01]
 [-5.73486438e+01 -6.08163700e+01]
 [-4.31389184e+00 -3.06545566e+01]
 [-7.94081465e+01 -5.36423753e+01]
 [-7.28871111e+01 -5.28936528e+01]
 [-1.65736123e+01 -9.06341090e+01]
 [-1.27112751e+01 -9.14694304e+01]
 [-1.10068500e+01 -9.59680812e+01]
 [-5.94661439e+01 -7.93170391e+01]
 [-2.52806536e+01 -7.89753812e+01]
 [-6.40776153e+01 -6.59802047e+01]
 [-3.58623733e+01 -8.54592952e+01]
 [-7.16869213e+01 -5.59576999e+01]
 [-3.98315003e+01 -7.70405329e+01]
 [-3.34544202e+01 -8.44077823e+01]
 [-8.41394677e+01 -4.46017998e+01]
 [-3.20745038e+01 -7.66158372e+01]
 [-3.16803451e+01 -7.65666565e+01]
 [-8.16154992e+01 -4.73386036e+01]
 [-3.77258283e+01 -7.65760865e+01]
 [-4.27754293e+01 -8.51933795e+01]
 [-7.02496398e+01 -5.81879636e+01]
 [-3.28565967e+01 -7.66238861e+01]
 [-7.46004883e+01 -5.09063529e+01]
 [-7.54352683e+01 -6.14732530e+01]
 [-3.66818038e+01 -8.54802342e+01]
 [-4.24366794e+01 -7.38159735e+01]
 [-5.93829167e+01 -7.44835169e+01]
 [-2.85677090e+01 -7.54950366e+01]
 [-8.04345798e+01 -5.22850796e+01]
 [-3.79158648e+01 -8.29522028e+01]
 [-3.87022496e+01 -7.96377199e+01]
 [-2.25537751e+01 -9.36339359e+01]
 [-5.85691842e+01 -6.09804222e+01]
 [-8.01855114e+01 -6.43968753e+01]
 [-3.49512303e+01 -8.57253681e+01]
 [-8.32325950e+01 -4.96323504e+01]
 [-5.11924681e+01 -6.64236393e+01]
 [-8.32420700e+01 -4.97640767e+01]
 [-4.21908918e+01 -6.71265718e+01]
 [-1.49746726e+01 -9.79070465e+01]
